year_birth,education,marital_status,income,kidhome,teenhome,date,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,response,customer_age,age_group,day_as_customer,loyality_tier,is_parent,household_size,Total_Spending
1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,46,45-60,4488,very loyal,1,2,1730
1949,Phd,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,76,60-80,4502,very loyal,0,2,972
1954,Phd,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,71,60-80,4118,very loyal,0,2,544
1951,Graduation,Married,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,74,60-80,4417,very loyal,0,2,444
1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,56,45-60,4492,very loyal,0,1,75
1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,49,45-60,4347,very loyal,1,3,257
1986,Graduation,Single,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,39,30-45,4443,very loyal,1,2,637
1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,36,30-45,4343,very loyal,1,2,131
1965,Phd,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,60,45-60,4168,very loyal,0,1,1672
1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,36,30-45,3987,very loyal,0,1,30
1963,Master,Married,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,62,60-80,4363,very loyal,0,1,318
1970,Graduation,Married,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,55,45-60,4576,very loyal,0,2,120
1952,Phd,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,1,73,60-80,4557,very loyal,0,3,302
1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,79,60-80,4443,very loyal,0,1,1196
1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,74,60-80,4253,very loyal,1,3,65
1970,Phd,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,55,45-60,4129,very loyal,0,2,913
1976,2N Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,49,45-60,4249,very loyal,1,2,81
1973,Graduation,Widowed,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,52,45-60,4087,very loyal,0,2,67
1943,Phd,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,82,80+,4462,very loyal,0,1,902
1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,45,30-45,4375,very loyal,0,2,1395
1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,40,30-45,4423,very loyal,1,2,53
1957,Graduation,Married,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,68,60-80,4501,very loyal,0,2,22
1959,Phd,Single,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,66,60-80,4185,very loyal,0,1,186
1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,50,45-60,4219,very loyal,1,2,31
1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,49,45-60,3950,very loyal,0,1,984
1996,2N Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,1,29,<30,4546,very loyal,0,1,122
1968,Graduation,Married,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,57,45-60,4350,very loyal,1,2,55
1951,Graduation,Single,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,74,60-80,4128,very loyal,1,4,124
1954,Phd,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,71,60-80,4547,very loyal,1,3,1319
1957,Graduation,Widowed,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,68,60-80,3997,very loyal,0,2,507
1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,61,60-80,4636,very loyal,0,1,1693
1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,48,45-60,4492,very loyal,1,2,72
1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,48,45-60,3971,very loyal,0,1,1617
1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,47,45-60,4331,very loyal,1,3,606
1955,Master,Married,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,1,70,60-80,4536,very loyal,0,1,1957
1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,1,59,45-60,4402,very loyal,0,1,1093
1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,37,30-45,4011,very loyal,1,2,29
1982,Graduation,Single,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,43,30-45,4326,very loyal,1,2,46
1968,Phd,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,57,45-60,4067,very loyal,0,2,518
1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,1,43,30-45,4309,very loyal,0,1,1438
1975,Graduation,Married,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,50,45-60,4609,very loyal,1,3,612
1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,73,60-80,4445,very loyal,0,2,884
1951,Phd,Widowed,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,74,60-80,4332,very loyal,0,2,606
1948,Graduation,Married,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,77,60-80,4154,very loyal,0,1,1076
1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,1,54,45-60,4353,very loyal,1,2,34
1967,Graduation,Married,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,58,45-60,3998,very loyal,1,3,11
1979,2N Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,46,45-60,4051,very loyal,0,2,1274
1958,Graduation,Married,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,67,60-80,4224,very loyal,0,2,653
1970,Graduation,Married,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,55,45-60,4396,very loyal,1,4,1562
1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,71,60-80,4605,very loyal,0,1,1253
1973,2N Cycle,Married,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,52,45-60,4602,very loyal,1,2,109
1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,66,60-80,4418,very loyal,0,2,863
1975,Phd,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,50,45-60,4399,very loyal,1,3,661
1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,73,60-80,4009,very loyal,0,1,65
1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,48,45-60,4506,very loyal,1,2,13
1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,1,53,45-60,4620,very loyal,0,1,1890
1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,49,45-60,4574,very loyal,0,1,2209
1976,2N Cycle,Married,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,49,45-60,4247,very loyal,0,1,18
1965,Graduation,Married,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,60,45-60,4492,very loyal,0,1,692
1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,40,30-45,4618,very loyal,1,2,165
1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,56,45-60,4320,very loyal,1,2,16
1973,2N Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,52,45-60,4310,very loyal,1,2,79
1963,Master,Married,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,62,60-80,4363,very loyal,0,1,318
1987,Graduation,Divorced,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,38,30-45,4073,very loyal,0,1,778
1960,Graduation,Married,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,65,60-80,4271,very loyal,1,3,56
1970,Master,Married,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,55,45-60,4297,very loyal,1,3,151
1957,Graduation,Single,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,1,68,60-80,3981,very loyal,0,2,372
1973,Graduation,Married,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,52,45-60,3997,very loyal,0,1,1366
1967,Graduation,Married,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,58,45-60,4108,very loyal,0,2,194
1957,Phd,Married,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,68,60-80,4536,very loyal,1,4,603
1957,Graduation,Single,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,68,60-80,3982,very loyal,1,3,18
1973,Master,Married,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,52,45-60,4167,very loyal,0,1,985
1972,Master,Single,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,53,45-60,4047,very loyal,1,2,32
1970,Phd,Married,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,55,45-60,3985,very loyal,1,2,43
1983,Graduation,Married,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,42,30-45,3987,very loyal,1,2,45
1960,Graduation,Widowed,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,65,60-80,4533,very loyal,0,2,606
1972,Graduation,Divorced,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,53,45-60,4393,very loyal,1,3,63
1951,2N Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,74,60-80,4159,very loyal,0,1,978
1983,Phd,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,42,30-45,4323,very loyal,0,1,410
1960,2N Cycle,Single,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,65,60-80,4290,very loyal,0,2,72
1959,Phd,Single,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,66,60-80,4040,very loyal,0,2,55
1979,Graduation,Married,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,46,45-60,4384,very loyal,0,2,1169
1945,Phd,Married,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,80,60-80,4357,very loyal,0,1,1120
1959,Graduation,Married,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,1,66,60-80,4001,very loyal,0,1,1097
1979,Basic,Married,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,46,45-60,4150,very loyal,1,2,29
1964,Graduation,Married,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,61,60-80,4227,very loyal,1,3,187
1969,Graduation,Married,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,56,45-60,4461,very loyal,0,3,910
1978,Graduation,Single,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,47,45-60,4506,very loyal,1,2,145
1960,Master,Married,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,65,60-80,4518,very loyal,0,1,850
1979,Graduation,Married,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,46,45-60,4188,very loyal,0,2,969
1991,Phd,Single,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,1,34,30-45,4545,very loyal,0,1,1820
1963,Master,Married,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,62,60-80,3953,very loyal,0,2,608
1991,Graduation,Single,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,1,34,30-45,4492,very loyal,0,1,730
1980,Phd,Married,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,45,30-45,4513,very loyal,1,2,551
1962,Graduation,Single,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,63,60-80,4241,very loyal,1,3,114
1970,Graduation,Married,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,55,45-60,4105,very loyal,0,1,1724
1978,2N Cycle,Married,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,47,45-60,4444,very loyal,1,2,577
1967,2N Cycle,Married,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,58,45-60,4302,very loyal,1,3,81
1969,Graduation,Married,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,56,45-60,4176,very loyal,1,2,33
1953,Master,Married,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,72,60-80,4323,very loyal,0,2,660
1967,Master,Single,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,1,58,45-60,4074,very loyal,1,2,80
1985,Master,Married,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,40,30-45,4247,very loyal,1,3,30
1976,Graduation,Divorced,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,49,45-60,4382,very loyal,1,2,43
1983,Graduation,Single,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,1,42,30-45,4423,very loyal,0,1,1135
1965,2N Cycle,Married,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,60,45-60,4445,very loyal,0,1,559
1984,Graduation,Single,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,1,41,30-45,4383,very loyal,0,1,1923
1953,Master,Married,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,72,60-80,3970,very loyal,1,3,90
1961,Phd,Married,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,64,60-80,4302,very loyal,0,2,404
1956,Phd,Married,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,69,60-80,3999,very loyal,1,3,661
1952,Graduation,Married,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,73,60-80,4221,very loyal,0,2,463
1958,Master,Single,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,67,60-80,4425,very loyal,1,3,632
1969,Graduation,Married,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,56,45-60,4088,very loyal,0,1,725
1963,Graduation,Married,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,62,60-80,4271,very loyal,0,2,725
1964,Phd,Married,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,61,60-80,4268,very loyal,1,3,279
1967,Phd,Married,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,58,45-60,4418,very loyal,0,1,1482
1976,Basic,Divorced,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,49,45-60,4639,very loyal,1,2,29
1959,Phd,Married,33762.0,2,1,2013-07-07,61,53,1,34,2,0,16,3,2,2,2,8,0,66,60-80,4306,very loyal,1,4,106
1973,Phd,Single,35860.0,1,1,2014-05-19,37,15,0,8,4,2,20,2,1,1,2,5,1,52,45-60,3990,very loyal,1,3,49
1965,Phd,Divorced,36921.0,1,1,2013-07-28,74,17,1,12,3,1,4,2,2,0,3,7,0,60,45-60,4285,very loyal,1,3,38
1992,Master,Single,92859.0,0,0,2012-10-19,46,962,61,921,52,61,20,1,5,4,12,2,0,33,30-45,4567,very loyal,0,1,2077
1976,Master,Married,65104.0,0,1,2013-11-14,4,738,0,232,13,20,50,2,3,5,7,7,1,49,45-60,4176,very loyal,0,2,1053
1962,Graduation,Married,86111.0,0,0,2013-04-19,73,399,28,756,36,40,126,1,5,7,10,2,0,63,60-80,4385,very loyal,0,1,1385
1974,Phd,Single,68352.0,0,1,2013-08-28,47,614,16,132,43,33,33,3,8,5,9,6,0,51,45-60,4254,very loyal,0,2,871
1988,Graduation,Married,41883.0,1,0,2013-03-19,13,32,34,41,73,16,116,3,4,2,3,7,0,37,30-45,4416,very loyal,1,2,312
1976,Graduation,Married,59809.0,0,2,2012-10-18,36,598,16,141,32,41,49,3,3,3,6,8,0,49,45-60,4568,very loyal,0,3,877
1975,Graduation,Married,23957.0,1,0,2012-10-28,47,2,1,18,20,11,16,1,2,0,3,6,1,50,45-60,4558,very loyal,1,2,68
1981,Graduation,Married,38547.0,1,0,2013-08-28,49,6,1,10,0,1,4,1,1,0,2,8,0,44,30-45,4254,very loyal,1,2,22
1973,2N Cycle,Married,35688.0,2,1,2012-08-22,94,73,3,90,12,1,32,7,4,1,4,8,0,52,45-60,4625,very loyal,1,4,211
1966,Master,Married,49605.0,0,0,2014-06-21,65,42,16,29,12,20,8,1,2,1,4,3,0,59,45-60,3957,very loyal,0,1,127
1953,Master,Married,59354.0,0,2,2014-04-24,59,295,21,78,39,13,13,1,4,4,7,3,0,72,60-80,4015,very loyal,0,3,459
1969,Graduation,Married,65747.0,0,1,2014-03-07,96,346,17,48,23,13,13,4,8,1,6,6,0,56,45-60,4063,very loyal,0,2,460
1972,2N Cycle,Married,46344.0,0,1,2012-12-14,28,233,20,57,8,20,91,4,7,1,5,7,0,53,45-60,4511,very loyal,0,2,429
1988,Graduation,Single,34176.0,1,0,2014-05-12,12,5,7,24,19,14,20,4,3,0,4,6,0,37,30-45,3997,very loyal,1,2,89
1952,Phd,Married,61010.0,0,1,2012-10-09,57,888,0,57,0,0,76,2,8,5,11,5,0,73,60-80,4577,very loyal,0,2,1021
1949,Graduation,Married,69372.0,0,0,2013-02-19,10,997,26,269,34,13,42,1,10,4,6,4,1,76,60-80,4444,very loyal,0,1,1381
1958,Graduation,Single,49967.0,0,1,2013-07-08,4,212,6,69,4,12,3,3,6,1,5,7,0,67,60-80,4305,very loyal,0,2,306
1978,Graduation,Single,60199.0,1,2,2013-09-12,49,8,1,7,2,0,0,1,0,0,3,4,0,47,45-60,4239,very loyal,1,4,18
1977,Graduation,Married,55375.0,0,1,2013-10-17,3,42,11,57,10,28,14,1,1,1,6,2,0,48,45-60,4204,very loyal,0,2,162
1955,Graduation,Single,80317.0,0,0,2013-08-20,64,536,11,387,149,91,57,1,3,4,10,1,0,70,60-80,4262,very loyal,0,1,1231
1958,Master,Single,30523.0,2,1,2013-07-01,0,5,0,3,0,0,5,1,1,0,2,7,0,67,60-80,4312,very loyal,1,4,13
1945,Phd,Married,70356.0,0,0,2012-11-05,20,1349,16,249,43,16,33,2,10,6,9,6,0,80,60-80,4550,very loyal,0,1,1706
1984,Graduation,Married,23228.0,1,0,2014-01-05,91,53,3,49,7,4,5,4,3,0,4,8,0,41,30-45,4124,very loyal,1,2,121
1975,Phd,Divorced,74165.0,0,0,2013-05-01,9,1001,12,240,16,12,12,1,5,4,10,2,0,50,45-60,4373,very loyal,0,1,1293
1973,Phd,Married,157243.0,0,1,2014-03-01,98,20,2,1582,1,2,1,15,0,22,0,0,0,52,45-60,4069,very loyal,0,2,1608
1966,Graduation,Married,43482.0,2,1,2013-11-13,83,18,1,32,6,3,28,3,2,0,4,6,0,59,45-60,4177,very loyal,1,4,88
1953,Graduation,Divorced,62551.0,0,0,2013-11-18,27,125,16,98,134,21,27,1,6,7,4,3,0,72,60-80,4172,very loyal,0,1,421
1959,Graduation,Divorced,52332.0,0,0,2013-08-28,63,212,5,33,7,0,2,1,3,2,6,4,0,66,60-80,4254,very loyal,0,1,259
1988,Graduation,Single,66951.0,0,0,2013-11-02,46,277,162,305,173,76,124,1,3,4,7,1,0,37,30-45,4188,very loyal,0,1,1117
1957,Graduation,Married,26091.0,1,1,2014-02-25,84,15,10,19,8,17,20,3,2,1,3,5,0,68,60-80,4073,very loyal,1,3,89
1965,Graduation,Married,33456.0,1,1,2014-04-21,58,7,3,10,8,1,7,2,1,0,3,7,0,60,45-60,4018,very loyal,1,3,36
1982,Graduation,Married,28718.0,1,0,2013-07-13,78,12,4,6,11,8,16,2,2,0,3,8,0,43,30-45,4300,very loyal,1,2,57
1970,Graduation,Married,50447.0,2,0,2014-04-21,4,85,7,24,2,3,27,1,3,1,3,6,0,55,45-60,4018,very loyal,1,3,148
1959,Phd,Married,53537.0,1,1,2014-01-30,17,81,0,6,0,0,6,2,2,1,3,5,0,66,60-80,4099,very loyal,1,3,93
1967,Graduation,Single,52074.0,0,1,2014-04-04,77,59,0,12,0,0,48,1,2,2,2,4,0,58,45-60,4035,very loyal,0,2,119
1975,Phd,Married,80427.0,0,1,2012-09-12,56,1149,71,449,69,71,26,1,11,8,8,5,0,50,45-60,4604,very loyal,0,2,1835
1948,Phd,Married,83837.0,0,0,2012-12-16,79,847,66,119,86,89,111,1,9,10,5,4,1,77,60-80,4509,very loyal,0,1,1318
1970,Phd,Married,38853.0,1,1,2014-05-23,90,29,0,14,0,0,2,2,2,0,3,7,0,55,45-60,3986,very loyal,1,3,45
1959,Graduation,Married,38285.0,2,1,2014-06-24,96,2,0,5,2,0,1,1,0,0,3,2,0,66,60-80,3954,very loyal,1,4,10
1951,2N Cycle,Married,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,74,60-80,4159,very loyal,0,1,978
1976,Phd,Married,51650.0,0,1,2014-05-11,81,152,3,22,2,5,7,1,4,1,4,5,0,49,45-60,3998,very loyal,0,2,191
1988,2N Cycle,Married,16248.0,1,0,2014-05-10,77,12,11,10,3,12,9,3,2,1,3,6,0,37,30-45,3999,very loyal,1,2,57
1946,Master,Married,66835.0,0,0,2013-09-28,21,620,26,195,34,17,141,1,6,4,13,2,0,79,60-80,4223,very loyal,0,1,1033
1984,Master,Married,30477.0,1,0,2014-01-22,16,47,1,6,0,0,12,1,1,1,3,6,0,41,30-45,4107,very loyal,1,2,66
1961,Basic,Married,28249.0,0,0,2014-06-15,80,1,9,7,2,14,10,1,2,0,3,6,0,64,60-80,3963,very loyal,0,1,43
1983,Graduation,Married,25271.0,1,0,2012-12-05,45,10,1,18,10,4,7,1,1,1,2,9,0,42,30-45,4520,very loyal,1,2,50
1970,Phd,Single,32303.0,0,1,2014-03-08,63,35,0,2,0,0,2,2,1,0,4,5,0,55,45-60,4062,very loyal,0,2,39
